student_id,file,exists,rows,columns,unique_dates,missing_value_cells,total_value_cells,missing_value_percent,min_date,max_date
26,oxygen.csv,1,46713,"timestamp, value",92,0,46713,0.0,2025-03-13,2025-06-13
26,stress.csv,1,87,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",87,0,174,0.0,2025-03-14,2025-06-13
27,daily_questions.csv,1,116,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",113,0,232,0.0,2025-03-07,2025-07-03
27,sleep.csv,1,97,"timestamp, overall_score, deep_sleep_in_minutes",91,0,194,0.0,2025-03-14,2025-06-30
27,activity_level.csv,1,84028,"timestamp, level",110,0,84028,0.0,2025-03-13,2025-06-30
27,steps.csv,1,36823,"timestamp, steps",109,0,36823,0.0,2025-03-14,2025-06-30
27,hrv.csv,1,7765,"timestamp, rmssd, coverage, low_frequency, high_frequency",98,0,31060,0.0,2025-03-14,2025-06-29
27,oxygen.csv,1,53160,"timestamp, value",109,0,53160,0.0,2025-03-14,2025-06-30
27,stress.csv,1,95,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",95,0,190,0.0,2025-03-14,2025-06-30
28,daily_questions.csv,1,108,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",108,0,216,0.0,2025-03-10,2025-06-30
28,sleep.csv,1,67,"timestamp, overall_score, deep_sleep_in_minutes",66,0,134,0.0,2025-03-14,2025-06-16
28,activity_level.csv,1,62326,"timestamp, level",79,0,62326,0.0,2025-03-13,2025-06-17
28,steps.csv,1,21088,"timestamp, steps",79,0,21088,0.0,2025-03-13,2025-06-17
28,hrv.csv,1,5832,"timestamp, rmssd, coverage, low_frequency, high_frequency",67,0,23328,0.0,2025-03-14,2025-06-16
28,oxygen.csv,1,34522,"timestamp, value",70,0,34522,0.0,2025-03-13,2025-06-16
28,stress.csv,1,63,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",63,0,126,0.0,2025-03-14,2025-06-16
29,daily_questions.csv,1,115,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",115,0,230,0.0,2025-03-13,2025-07-08
29,sleep.csv,1,43,"timestamp, overall_score, deep_sleep_in_minutes",41,0,86,0.0,2025-03-14,2025-06-28
29,activity_level.csv,1,36465,"timestamp, level",78,0,36465,0.0,2025-03-13,2025-06-29
29,steps.csv,1,12773,"timestamp, steps",75,0,12773,0.0,2025-03-13,2025-06-29
29,hrv.csv,1,3207,"timestamp, rmssd, coverage, low_frequency, high_frequency",43,0,12828,0.0,2025-03-14,2025-06-28
29,oxygen.csv,1,22687,"timestamp, value",70,0,22687,0.0,2025-03-13,2025-06-29
29,stress.csv,1,47,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",47,0,94,0.0,2025-03-14,2025-06-28
30,daily_questions.csv,1,108,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",108,0,216,0.0,2025-03-16,2025-07-04
30,sleep.csv,1,77,"timestamp, overall_score, deep_sleep_in_minutes",74,0,154,0.0,2025-03-14,2025-05-27
30,activity_level.csv,1,62887,"timestamp, level",77,0,62887,0.0,2025-03-13,2025-05-28
30,steps.csv,1,24350,"timestamp, steps",77,0,24350,0.0,2025-03-13,2025-05-28
30,hrv.csv,1,5247,"timestamp, rmssd, coverage, low_frequency, high_frequency",74,0,20988,0.0,2025-03-14,2025-05-26
30,oxygen.csv,1,38782,"timestamp, value",76,0,38782,0.0,2025-03-14,2025-05-28
30,stress.csv,1,72,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",71,0,144,0.0,2025-03-14,2025-05-24
31,daily_questions.csv,1,50,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",50,0,100,0.0,2025-03-13,2025-05-14
31,sleep.csv,1,27,"timestamp, overall_score, deep_sleep_in_minutes",27,0,54,0.0,2025-03-14,2025-06-28
31,activity_level.csv,1,41382,"timestamp, level",103,0,41382,0.0,2025-03-13,2025-07-01
31,steps.csv,1,21606,"timestamp, steps",102,0,21606,0.0,2025-03-13,2025-07-01
31,hrv.csv,1,2144,"timestamp, rmssd, coverage, low_frequency, high_frequency",30,0,8576,0.0,2025-03-13,2025-06-28
31,oxygen.csv,1,16479,"timestamp, value",64,0,16479,0.0,2025-03-13,2025-06-30
31,stress.csv,1,42,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",42,0,84,0.0,2025-03-14,2025-06-30
32,daily_questions.csv,1,116,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",116,0,232,0.0,2025-03-06,2025-07-03
32,sleep.csv,1,80,"timestamp, overall_score, deep_sleep_in_minutes",80,0,160,0.0,2025-03-15,2025-06-17
32,activity_level.csv,1,77079,"timestamp, level",96,0,77079,0.0,2025-03-13,2025-06-17
32,steps.csv,1,28669,"timestamp, steps",96,0,28669,0.0,2025-03-13,2025-06-17
